No|Chinese|Pinyin|English|part_of_speech
694|固执|gùzhi|stubborn|noun
695|顾虑|gùlǜ|misgive; misgiving|noun
696|顾问|gùwèn|adviser|noun
697|故乡|gùxiāng|Hometown|noun
698|故障|gùzhàng|fault|noun
699|雇佣|gùyōng|hire|noun
700|拐杖|guǎizhàng|cane|noun
701|关怀|guānhuái|Care|noun
702|关照|guānzhào|Take care of|noun
703|官方|guānfāng|by the government official|adj
704|观光|guānguāng|Sightseeing|noun
705|管辖|guǎnxiá|dominate; rule|verb
706|罐|guàn|pot|noun
707|贯彻|guànchè|implement|noun
708|灌溉|guàngài|irrigation|noun
709|惯例|guànlì|convention|noun
710|光彩|guāngcǎi|Brilliance|noun
711|光辉|guānghuī|Glory|noun
712|光芒|guāngmáng|Shine|noun
713|光荣|guāngróng|glory|noun
714|广阔|guǎngkuò|wide|noun
715|规范|guīfàn|criterion; rule|noun
716|规格|guīgé|standard; format|noun
717|规划|guīhuà|Plan|noun
718|规章|guīzhāng|Rules|noun
719|归根到底|guīgēndàodǐ|at all time and place|noun
720|归还|guīhuán|return|verb
721|轨道|guǐdào|track|noun
722|跪|guì|kneel|noun
723|贵族|guìzú|noble|noun
724|棍棒|gùnbàng|club; cudgel|noun
725|国防|guófáng|national defense|noun
726|国务院|guówùyuàn|The State Council|noun
727|果断|guǒduàn|decisive|adj
728|过度|guòdù|excessive|adj
729|过渡|guòdù|transition|noun
730|过奖|guòjiǎng|you flatter|noun
731|过滤|guòlǜ|filter|noun
732|过失|guòshī|fault|noun
733|过问|guòwèn|Ask|noun
734|过瘾|guòyǐn|Fun|noun
735|过于|guòyú|too; excessively|adv
736|嗨|hāi|hi|noun
737|海拔|hǎibá|altitude|noun
738|海滨|hǎibīn|Seaside|noun
739|含糊|hánhu|vague|noun
740|含义|hányì|signification; meanings|noun
741|寒暄|hánxuān|exchange of conventional greetings|noun
742|罕见|hǎnjiàn|peculiar; rare|noun
743|捍卫|hànwèi|defend; guard|noun
744|航空|hángkōng|aviation|noun
745|航天|hángtiān|Space flight|noun
746|航行|hángxíng|Sail|noun
747|行列|hángliè|Ranks|noun
748|豪迈|háomài|Heroic|noun
749|毫米|háomǐ|millimeter|noun
750|毫无|háowú|nothing|noun
751|号召|hàozhào|call|noun
752|耗费|hàofèi|cost|noun
753|呵|hē|Oh|noun
754|和蔼|hé’ǎi|Kindly|adv
755|和解|héjiě|compromise|noun
756|和睦|hémù|harmony|noun
757|和气|héqi|kind; polite|noun
758|和谐|héxié|Harmonious|adj
759|合并|hébìng|merge|noun
760|合成|héchéng|Synthesis|noun
761|合伙|héhuǒ|cooperate; join hands with|verb
762|合算|hésuàn|Cost-effective|adj
763|嘿|hēi||noun
764|痕迹|hénjì|mark|noun
765|狠心|hěnxīn|cruel hearted|noun
766|恨不得|hènbude|Hate not|noun
767|哼|hēng|Hum|noun
768|横|héng|harsh and unreasonable; perverse|noun
769|哄|hōng|fool|noun
770|烘|hōng|Bake|noun
771|轰动|hōngdòng|make a sensation; make a stir|verb
772|宏观|hóngguān|Macroscopic|noun
773|宏伟|hóngwěi|grand|noun
774|洪水|hóngshuǐ|Flood|noun
775|喉咙|hóulóng|throat|noun
776|吼|hǒu|Roar|noun
777|后代|hòudài|Offspring|noun
778|后顾之忧|hòugùzhīyōu|Any menace from the “rear|noun
779|后勤|hòuqín|logistics|noun
780|候选|hòuxuǎn|candidate|verb
781|忽略|hūlüè|ignore|noun
782|呼唤|hūhuàn|call|noun
783|呼啸|hūxiào|Whistling|noun
784|呼吁|hūyù|call on; appeal|adj
785|胡乱|húluàn|Casually|adv
786|胡须|húxū|beard|noun
787|湖泊|húpō|lake|noun
788|花瓣|huābàn|Petal|adj
789|花蕾|huālěi|bud|noun
790|华丽|huálì|design|noun
791|华侨|huáqiáo|overseas Chinese|noun
792|画蛇添足|huàshétiānzú|Superfluous|adj
793|化肥|huàféi|chemical fertilizer|noun
794|化石|huàshí|Fossil|noun
795|化验|huàyàn|Test|noun
796|化妆|huàzhuāng|prink; make up|verb
797|划分|huàfēn|Divide|noun
798|话筒|huàtǒng|Microphone|noun
799|欢乐|huānlè|Happy|noun
800|还原|huányuán|reduction|noun
801|环节|huánjié|link|noun
802|缓和|huǎnhé|To moderate|verb
803|患者|huànzhě|Patient|noun
804|荒凉|huāngliáng|Desolate|verb
805|荒谬|huāngmiù|ridiculous; nonsensical|adj
806|荒唐|huāngtáng|absurd|noun
807|黄昏|huánghūn|Dusk|noun
808|皇帝|huángdì|Emperor|noun
809|皇后|huánghòu|Queen|noun
810|晃|huǎng|shake|noun
811|恍然大悟|huǎngrándàwù|See light suddenly|adj
812|挥霍|huīhuò|splurge; devour|noun
813|辉煌|huīhuáng|brilliant|noun
814|回报|huíbào|Return|verb
815|回避|huíbì|obviate; slide over|noun
816|回顾|huígù|review; look back|noun
817|回收|huíshōu|recovery|noun
818|悔恨|huǐhèn|Regret|noun
819|毁灭|huǐmiè|Ruin|noun
820|会晤|huìwù|Meet|noun
821|汇报|huìbào|report|noun
822|贿赂|huìlù|bribery|noun
823|昏迷|hūnmí|coma|noun
824|荤|hūn|meat|noun
825|浑身|húnshēn|All|noun
826|混合|hùnhé|blend|noun
827|混乱|hùnluàn|confusion|noun
828|混淆|hùnxiáo|confusion|noun
829|混浊|hùnzhuó|Turbidity|noun
830|活该|huógāi|You deserves it|noun
831|活力|huólì|energy; vigor|noun
832|火箭|huǒjiàn|rocket|noun
833|火焰|huǒyàn|flame|noun
834|火药|huǒyào|gunpowder|noun
835|货币|huòbì|currency|noun
836|基地|jīdì|base|noun
837|基金|jījīn|fund|noun
838|基因|jīyīn|gene|noun
839|机动|jīdòng|Maneuver|noun
840|机构|jīgòu|mechanism|noun
841|机灵|jīling|wise; clever|noun
842|机密|jīmì|Confidential|adj
843|机械|jīxiè|Mechanics|noun
844|机遇|jīyù|Opportunity|noun
845|机智|jīzhì|tactful; resourceful|adj
846|激发|jīfā|inspire|noun
847|激励|jīlì|inspirit|noun
848|激情|jīqíng|Passion|noun
849|饥饿|jī’è|hunger|noun
850|讥笑|jīxiào|fleer|noun
851|极端|jíduān|extreme|noun
852|极限|jíxiàn|limit|noun
853|即便|jíbiàn|even if|noun
854|即将|jíjiāng|soon|noun
855|级别|jíbié|level|noun
856|疾病|jíbìng|disease|noun
857|嫉妒|jídù|Envy|noun
858|及早|jízǎo|as soon as possible|noun
859|急功近利|jígōngjìnlì|Be anxious to achieve quick success and get instant benefits|noun
860|急剧|jíjù|sharp|noun
861|急切|jíqiè|impatient eager; imperative|adj
862|急于求成|jíyúqiúchéng|Be anxious for success|noun
863|急躁|jízào|Impatient|noun
864|籍贯|jíguàn|Place of origin|noun
865|集团|jítuán|group|noun
866|吉祥|jíxiáng|lucky; auspicious|adj
867|给予|jǐyǔ|give|adj
868|寄托|jìtuō|place on; consign or commit|noun
869|继承|jìchéng|inherit|noun
870|记性|jìxing|memory|noun
871|记载|jìzǎi|Record|noun
872|季度|jìdù|quarter (of a year)|noun
873|季军|jìjūn|Third place|noun
874|计较|jìjiào|Regardless of|noun
875|忌讳|jìhuì|Taboo|noun
876|寂静|jìjìng|Silent|noun
877|纪要|jìyào|summary|noun
878|技巧|jìqiǎo|Skill|verb
879|迹象|jìxiàng|Sign|noun
880|家常|jiācháng|the daily life of a family|noun
881|家伙|jiāhuo|Fellow|noun
882|家属|jiāshǔ|family members|noun
883|家喻户晓|jiāyùhùxiǎo|widely known|adv
884|加工|jiāgōng|machining|noun
885|加剧|jiājù|exacerbate|verb
886|佳肴|jiāyáo|Delicacy|noun
887|夹杂|jiāzá|Inclusion|noun
888|煎|jiān|Fried|noun
889|坚定|jiāndìng|Firm, steadfast|noun
890|坚固|jiāngù|strong|adj
891|坚韧|jiānrèn|gritty; hard-bitten|noun
892|坚实|jiānshí|solid|noun
893|坚硬|jiānyìng|hard|noun
894|监督|jiāndū|supervise|noun
895|监视|jiānshì|Monitor|noun
896|监狱|jiānyù|Prison|noun
897|尖端|jiānduān|top end|noun
898|尖锐|jiānruì|Sharp|noun
899|艰难|jiānnán|difficult|noun
900|拣|jiǎn|Pick|noun
901|剪彩|jiǎncǎi|Ribbon-cutting|verb
902|检讨|jiǎntǎo|A review|noun
903|检验|jiǎnyàn|test|noun
904|简化|jiǎnhuà|predigest|noun
905|简陋|jiǎnlòu|simple and crude|noun
906|简体字|jiǎntǐzì|simplified character|noun
907|简要|jiǎnyào|in brief|noun
908|溅|jiàn|splash|noun
909|鉴别|jiànbié|differentiate|verb
910|鉴定|jiàndìng|Appraisal|adj
911|鉴于|jiànyú|In view of the fact that|noun
912|间谍|jiàndié|espionage|noun
913|间隔|jiàngé|interval|adj
914|间接|jiànjiē|indirect|noun
915|见多识广|jiànduōshíguǎng|Have great experience|noun
916|见解|jiànjiě|Opinion|noun
917|见闻|jiànwén|Informative|adj
918|见义勇为|jiànyìyǒngwéi|Do boldly what is righteous|verb
919|健全|jiànquán|sound|noun
920|践踏|jiàntà|override|noun
921|舰艇|jiàntǐng|Naval vessels|noun
922|剑|jiàn|sword|noun
923|将近|jiāngjìn|nearly|adv
924|将军|jiāngjūn|General|adj
925|将就|jiāng jiù|put up with|noun
926|僵硬|jiāngyìng|stiff|noun
927|桨|jiǎng|propeller|noun
928|奖励|jiǎnglì|reward|noun
929|奖赏|jiǎngshǎng|reward|noun
930|降临|jiànglín|become of; befall; arrive|verb
931|交叉|jiāochā|intercross|noun
932|交代|jiāodài|hand over|noun
933|交涉|jiāoshè|Negotiate|verb
934|交易|jiāoyì|transaction|noun
935|焦点|jiāodiǎn|focus|noun
936|焦急|jiāojí|anxious|adj
937|娇气|jiāoqì|effeminate|verb
938|角落|jiǎoluò|corner|noun
939|搅拌|jiǎobàn|mix up|noun
940|缴纳|jiǎonà|Pay|noun
941|侥幸|jiǎoxìng|by luck|noun
942|教养|jiàoyǎng|train; upbringing; education|verb
943|较量|jiàoliàng|Contest|noun
944|皆|jiē|all|noun
945|接连|jiēlián|One after another|noun
946|阶层|jiēcéng|stratum|noun
947|揭露|jiēlù|Expose|noun
948|节奏|jiézòu|rhythm|noun
949|节制|jiézhì|dicipline|noun
950|杰出|jiéchū|outstanding|noun
951|结晶|jiéjīng|result; finale|noun
952|结局|jiéjú|Ending|noun
953|结算|jiésuàn|Settlement|noun
954|竭尽全力|jiéjìnquánlì|Strain every nerve|verb
955|截至|jiézhì|By (time）|noun
956|截止|jiézhǐ|due|noun
957|解除|jiěchú|Relieve|noun
958|解放|jiěfàng|liberate|verb
959|解雇|jiěgù|fire|noun
960|解剖|jiěpōu|anatomy|noun
961|解散|jiěsàn|dissolution|noun
962|解体|jiětǐ|Disintegrate|verb
963|借鉴|jièjiàn|take example by|noun
964|借助|jièzhù|With the help of|noun
965|戒备|jièbèi|Alert|noun
966|界限|jièxiàn|limit|noun
967|津津有味|jīnjīnyǒuwèi|Eat with appetite|noun
968|金融|jīnróng|Finance|noun
969|紧迫|jǐnpò|urgent|noun
970|锦上添花|jǐnshàngtiānhuā|icing on the cake|noun
971|进而|jìn’ér|and then|noun
972|进攻|jìngōng|attack|noun
973|进化|jìnhuà|evolution|noun
974|进展|jìnzhǎn|evolve; get along|noun
975|近来|jìnlái|recently|adv
976|浸泡|jìnpào|soak|noun
977|晋升|jìnshēng|Promotion|noun
978|茎|jīng|stalk; stem|noun
979|精打细算|jīngdǎxìsuàn|pinch pennies|noun
980|精华|jīnghuá|elite; distillate|verb
981|精简|jīngjiǎn|simplify; condense|noun
982|精密|jīngmì|exact; close|verb
983|精确|jīngquè|accurate; exact|noun
984|精通|jīngtōng|Master, be good at|adj
985|精心|jīngxīn|Elaborate|verb
986|精益求精|jīngyìqiújīng|keep improving|noun
987|精致|jīngzhì|delicate|verb
988|经费|jīngfèi|funds|noun
989|经纬|jīngwěi|longitude and latitude|noun
990|惊动|jīngdòng|Disturb|noun
991|惊奇|jīngqí|Be surprised|verb
992|惊讶|jīngyà|surprised|verb
993|兢兢业业|jīngjīngyèyè|cautious and conscientious|adj
994|井|jǐng|well|noun
995|警告|jǐnggào|warning|noun
996|警惕|jǐngtì|Be vigilant|noun
997|颈椎|jǐngzhuī|cervical vertebra|noun
998|敬礼|jìnglǐ|Salute|noun
999|敬业|jìngyè|dedication (work)|noun
1000|境界|jìngjiè|realm; extent reached|noun
1001|竞赛|jìngsài|competition|noun
1002|竞选|jìngxuǎn|Campaign for|noun
1003|镜头|jìngtóu|Camera lens|noun
1004|纠纷|jiūfēn|dissension; tangle|noun
1005|纠正|jiūzhèng|correct|noun
1006|酒精|jiǔjīng|alcohol|noun
1007|救济|jiùjì|redress; relief|noun
1008|就近|jiùjìn|Nearby|noun
1009|就业|jiùyè|take up an occupation|noun
1010|就职|jiùzhí|Inauguration|noun
1011|鞠躬|jūgōng|Bow|noun
1012|拘留|jūliú|detain|noun
1013|拘束|jūshù|constrained; ill at ease|verb
1014|居民|jūmín|residents|noun
1015|居住|jūzhù|live|adj
1016|局部|júbù|local|adj
1017|局面|júmiàn|situation|noun
1018|局势|júshì|Situation|noun
1019|局限|júxiàn|limit; confine|adj
1020|举动|jǔdòng|Move|noun
1021|举世瞩目|jǔshìzhǔmù|attract worldwide attention|noun
1022|举足轻重|jǔzúqīngzhòng|Play a decisive role|noun
1023|咀嚼|jǔjué|Chew|noun
1024|沮丧|jǔsàng|depressed|noun
1025|剧本|jùběn|Script|noun
1026|剧烈|jùliè|Severe|noun
1027|聚精会神|jùjīnghuìshén|Concentrate one’s attention on|noun
1028|据悉|jùxī|it is reported|noun
1029|卷|juǎn|volume|noun
1030|决策|juécè|make policy|verb
1031|觉悟|juéwù|consciousness|noun
1032|觉醒|juéxǐng|rouse; awake|noun
1033|绝望|juéwàng|Despair|noun
1034|倔强|juéjiàng|stubborn|noun
1035|军队|jūnduì|army|noun
1036|君子|jūnzǐ|gentleman|noun
1037|卡通|kǎtōng|Cartoon|noun
1038|开采|kāicǎi|exploit (mine)|noun
1039|开除|kāichú|Expel|noun
1040|开阔|kāikuò|open|noun
1041|开朗|kāilǎng|Optimistic|adj
1042|开明|kāimíng|enlightened|noun
1043|开辟|kāipì|open up|noun
1044|开拓|kāituò|open up; exploit|noun
1045|开展|kāizhǎn|Develop|noun
1046|开支|kāizhī|expenditure|noun
1047|刊登|kāndēng|publish in a newspaper|verb
1048|刊物|kānwù|Publication|noun
1049|勘探|kāntàn|prospect for; prove up|noun
1050|砍伐|kǎnfá|lop|noun
1051|侃侃而谈|kǎnkǎn ér tán|chatting|noun
1052|看待|kàndài|To view|noun
1053|慷慨|kāngkǎi|generous|adj
1054|扛|káng|Carry|noun
1055|抗议|kàngyì|Protest|noun
1056|考察|kǎochá|Investigate|verb
1057|考古|kǎogǔ|Archaeology|noun
1058|考核|kǎohé|examine; assess|noun
1059|考验|kǎoyàn|test|noun
1060|靠拢|kàolǒng|Close to|verb
1061|磕|kē|Knock|noun
1062|科目|kēmù|Subject|noun
1063|渴望|kěwàng|Yearn|noun
1064|可观|kěguān|considerable|adj
1065|可口|kěkǒu|Delicious|adj
1066|可恶|kěwù|loathsome; hateful|adj
1067|可行|kěxíng|feasible|noun
1068|刻不容缓|kèbùrónghuǎn|Brook no delay|noun
1069|课题|kètí|topic|noun
1070|克制|kèzhì|restrain|verb
1071|客户|kèhù|Customer|noun
1072|啃|kěn|Bite|noun
1073|恳切|kěnqiè|fair-spoken|noun
1074|坑|kēng|pit|noun
1075|空洞|kōngdòng|empty|noun
1076|空前绝后|kōngqiánjuéhòu|Unprecedented|noun
1077|空想|kōngxiǎng|escapism; dream; phantasm|noun
1078|空虚|kōngxū|vain; empty|noun
1079|孔|kǒng|hole|noun
1080|恐怖|kǒngbù|terror|noun
1081|恐吓|kǒnghè|intimidate|verb
1082|恐惧|kǒngjù|Fear|noun
1083|空白|kòngbái|blank; vacancy|noun
1084|空隙|kòngxì|interspaced; lacuna|noun
1085|口气|kǒuqì|tone|noun
1086|口腔|kǒuqiāng|mouth; oral cavity|noun
1087|口头|kǒutóu|oral|adj
1088|口音|kǒuyīn|accent|noun
1089|扣|kòu|button|noun
1090|哭泣|kūqì|cry|noun
1091|枯燥|kūzào|Boring|noun
1092|枯萎|kūwěi|withered|noun
1093|苦涩|kǔsè|bitter|noun
1094|苦尽甘来|kǔjìngānlái|All sufferings have their reward|noun
1095|挎|kuà|carry on the arm|noun
1096|跨|kuà|Cross|noun
1097|快活|kuàihuo|happy|noun
1098|宽敞|kuānchang|spacious; commodious|adj
1099|宽容|kuānróng|tolerant|noun
1100|款待|kuǎndài|Entertain|noun
1101|款式|kuǎnshì|style|noun
1102|筐|kuāng|basket|noun
1103|旷课|kuàngkè|Absenteeism|noun
1104|框架|kuàngjià|frame|noun
1105|况且|kuàngqiě|moreover|noun
1106|矿产|kuàngchǎn|mineral|adj
1107|亏待|kuīdài|Treat|noun
1108|亏损|kuīsǔn|loss|noun
1109|捆绑|kǔnbǎng|binding|noun
1110|扩充|kuòchōng|extend; enlarge|verb
1111|扩散|kuòsàn|spread|verb
1112|扩张|kuòzhāng|expand; outspread|verb
1113|喇叭|lǎba|horn|noun
1114|蜡烛|làzhú|candle|noun
1115|啦|la||noun
1116|来历|láilì|Origin|noun
1117|来源|láiyuán|source|noun
1118|栏目|lánmù|column|noun
1119|懒惰|lǎnduò|lazy|noun
1120|狼狈|lángbèi|in sore straits; in a tight corner|noun
1121|狼吞虎咽|lángtūnhǔyàn|devour like a wolf|noun
1122|捞|lāo|Fishing|noun
1123|唠叨|láodao|To nag|noun
1124|牢固|láogù|solid|noun
1125|牢骚|láosāo|Complain|noun
1126|乐趣|lèqù|pleasure|noun
1127|乐意|lèyì|Happy|noun
1128|雷达|léidá|radar|noun
1129|类似|lèisì|Similar|noun
1130|冷酷|lěngkù|cool|noun
1131|冷却|lěngquè|cooling|noun
1132|冷落|lěngluò|indifferent|noun
1133|愣|lèng|distracted|noun
1134|黎明|límíng|Dawn|noun
1135|里程碑|lǐchéngbēi|Milepost|noun
1136|礼节|lǐjié|etiquette|noun
1137|礼尚往来|lǐshàngwǎnglái|reciprocity|noun
1138|理睬|lǐcǎi|Acknowledge|noun
1139|理所当然|lǐsuǒdāngrán|go without saying; of course|noun
1140|理直气壮|lǐzhíqìzhuàng|one is assured and bold with justice|noun
1141|理智|lǐzhì|reasonable|adj
1142|粒|lì|grain (measure word)|measure
1143|立场|lìchǎng|position|noun
1144|立方|lìfāng|cube|noun
1145|立交桥|lìjiāoqiáo|Overpass|noun
1146|立体|lìtǐ|Three-dimensional|adj
1147|立足|lìzú|Based on the|noun
1148|历代|lìdài|past dynasties|noun
1149|历来|lìlái|always|noun
1150|利害|lìhài|Interest|noun
1151|力所能及|lìsuǒnéngjí|Do everything in one’s power|verb
1152|力争|lìzhēng|Strive to|noun
1153|力求|lìqiú|strive for|noun
1154|例外|lìwài|exception|noun
1155|连年|liánnián|in successive years|noun
1156|连锁|liánsuǒ|chain|noun
1157|连同|liántóng|together with|noun
1158|联欢|liánhuān|Gala|noun
1159|联络|liánluò|liaison|noun
1160|联盟|liánméng|union|noun
1161|联想|liánxiǎng|association|noun
1162|廉洁|liánjié|uncorrupted; clean-fingered|verb
1163|良心|liángxīn|conscience|noun
1164|晾|liàng|Dry|noun
1165|谅解|liàngjiě|understanding|noun
1166|辽阔|liáokuò|Vast|noun
1167|列举|lièjǔ|list|noun
1168|淋|lín|Shower|noun
1169|临床|línchuáng|clinical|adj
1170|吝啬|lìnsè|Stingy|noun
1171|零星|língxīng|Sporadic|noun
1172|凌晨|língchén|Before dawn|noun
1173|灵感|línggǎn|inspiration|noun
1174|灵魂|línghún|soul|noun
1175|灵敏|língmǐn|sensitive|adj
1176|伶俐|línglì|Clever|noun
1177|领会|lǐnghuì|Understand|noun
1178|领事馆|lǐngshìguǎn|Consulate|verb
1179|领土|lǐngtǔ|territory|noun
1180|领悟|lǐngwù|Understand|noun
1181|领先|lǐngxiān|keep ahead|noun
1182|领袖|lǐngxiù|leader|noun
1183|溜|liū|Slip|noun
1184|留恋|liúliàn|be reluctant to leave|noun
1185|留念|liúniàn|As a souvenir|noun
1186|留神|liúshén|Watch|noun
1187|流浪|liúlàng|lead a vagrant life; rove; roam about|noun
1188|流露|liúlù|reveal|adj
1189|流氓|liúmáng|rogue|noun
1190|流通|liútōng|circulation|noun
1191|聋哑|lóngyǎ|Deaf-mute|noun
1192|隆重|lóngzhòng|ceremonious|adj
1193|垄断|lǒngduàn|monopoly|adv
1194|笼罩|lǒngzhào|Shrouded|noun
1195|搂|lǒu|Hug|noun
1196|炉灶|lúzào|A kitchen stove|noun
1197|轮船|lúnchuán|Ship|noun
1198|轮廓|lúnkuò|outline|noun
1199|轮胎|lúntāi|tyre|noun
1200|论坛|lùntán|forum|noun
1201|论证|lùnzhèng|Demonstration|noun
1202|啰唆|luōsuo|troublesome, wordy|noun
1203|落成|luòchéng|Completion|noun
1204|落实|luòshí|put into effect|noun
1205|络绎不绝|luòyìbùjué|Go and fro in constant streams|noun
1206|屡次|lǚcì|Repeatedly|adv
1207|履行|lǚxíng|Perform|noun
1208|掠夺|lüèduó|plunder|noun
1209|麻痹|mábì|lull; blunt; paralysis|noun
1210|麻木|mámù|numbness|noun
1211|麻醉|mázuì|narcosis|noun
1212|码头|mǎtóu|wharf|noun
1213|蚂蚁|mǎyǐ|ant|noun
1214|嘛|ma||noun
1215|埋伏|máifú|Ambush|noun
1216|埋没|máimò|immerse oneself in|noun
1217|埋葬|máizàng|bury|noun
1218|迈|mài|Wallace|noun
1219|脉搏|màibó|pulse|noun
1220|埋怨|mányuàn|Complain|noun
1221|慢性|mànxìng|chronic|noun
1222|漫长|màncháng|Very long|noun
1223|漫画|mànhuà|Cartoon|noun
1224|蔓延|mànyán|spread; creep|verb
1225|忙碌|mánglù|Be busy|noun
1226|茫茫|mángmáng|vast; boundless|noun
1227|茫然|mángrán|Blank|noun
1228|盲目|mángmù|blind|noun
1229|冒充|màochōng|Posing|noun
1230|冒犯|màofàn|offend|noun
1231|茂盛|màoshèng|Lush|noun
1232|枚|méi|measure word for medal|measure
1233|媒介|méijiè|agent; medium|noun
1234|美观|měiguān|Beautiful|adj
1235|美满|měimǎn|happy; perfect|adj
1236|美妙|měimiào|wonderful|adj
1237|萌芽|méngyá|bud; sprout|noun
1238|猛烈|měngliè|violent|noun
1239|眯|mī|take a nap|noun
1240|弥补|míbǔ|remedy; offset|noun
1241|弥漫|mímàn|permeate; fill the air|noun
1242|迷惑|míhuò|puzzle; delude|noun
1243|迷人|mírén|charming|noun
1244|迷信|míxìn|superstition|noun
1245|谜语|míyǔ|Riddle|noun
1246|密度|mìdù|density|noun
1247|密封|mìfēng|Seal up|noun
1248|棉花|miánhua|cotton|noun
1249|免得|miǎndé|lest|noun
1250|免疫|miǎnyì|immune|noun
1251|勉励|miǎnlì|Encourage|noun
1252|勉强|miǎnqiǎng|reluctantly|adv
1253|面貌|miànmào|face|noun
1254|面子|miànzi|prestige; face|noun
1255|描绘|miáohuì|describe; portray|noun
1256|瞄准|miáozhǔn|aim|noun
1257|渺小|miǎoxiǎo|Tiny|noun
1258|藐视|miǎoshì|contempt|noun
1259|蔑视|mièshì|disparage; scorn|noun
1260|灭亡|mièwáng|perish|noun
1261|民间|mínjiān|nongovernmental|adj
1262|民主|mínzhǔ|democratic|noun
1263|敏捷|mǐnjié|agile|noun
1264|敏锐|mǐnruì|keen|noun
1265|明明|míngmíng|Obviously|adv
1266|明智|míngzhì|wise|adv
1267|名次|míngcì|Ranking|noun
1268|名额|míng’é|Places|noun
1269|名副其实|míngfùqíshí|Be worthy of the name|noun
1270|名誉|míngyù|reputation|noun
1271|命名|mìngmíng|call; nominate|verb
1272|摸索|mōsuǒ|fumble; grope|noun
1273|膜|mó|membrane|noun
1274|摩擦|mócā|rub; scrape|noun
1275|磨合|móhé|running-in|noun
1276|模范|mófàn|model|noun
1277|模式|móshì|mode; style|noun
1278|模型|móxíng|Model|noun
1279|魔鬼|móguǐ|devil; demon|noun
1280|魔术|móshù|Magic|noun
1281|抹杀|mǒshā|write off; obliterate|verb
1282|莫名其妙|mòmíng-qímiào|without rhyme or reason|noun
1283|默默|mòmò|silently|adv
1284|墨水儿|mòshuǐr|book learning|noun
1285|谋求|móuqiú|seek|noun
1286|模样|múyàng|Appearance|noun
1287|母语|mǔyǔ|Mother tongue|noun
1288|目睹|mùdǔ|witness; see with one’s eyes|noun
1289|目光|mùguāng|Eye|noun
1290|沐浴|mùyù|Bath|noun
1291|拿手|náshǒu|Good|adj
1292|纳闷儿|nàmènr|feel puzzle|noun
1293|耐用|nàiyòng|durable|adj
1294|南辕北辙|nányuánběizhé|have nothing in common|noun
1295|难得|nándé|rare|noun
1296|难堪|nánkān|Embarrassed|noun
1297|难能可贵|nánnéngkěguì|Praiseworthy for one’s excellent conduct|noun
1298|恼火|nǎohuǒ|angry; take fire|noun
1299|内涵|nèihán|connotation|noun
1300|内幕|nèimù|Insider|noun
1301|内在|nèizài|inherent|noun
1302|能量|néngliàng|energy|noun
1303|拟定|nǐdìng|study out|verb
1304|逆行|nìxíng|retrograde motion|noun
1305|年度|niándù|year|noun
1306|捏|niē|Pinch|noun
1307|拧|níng|Screw|noun
1308|凝固|nínggù|freezing|noun
1309|凝聚|níngjù|condensation|noun
1310|凝视|níngshì|gaze; stare|noun
1311|宁肯|nìngkěn|would rather than|noun
1312|宁愿|nìngyuàn|would rather|noun
1313|纽扣儿|niǔkòur|button|noun
1314|扭转|niǔzhuǎn|Reverse|noun
1315|浓厚|nónghòu|dense|noun
1316|农历|nónglì|Lunar calendar|noun
1317|奴隶|núlì|slave|noun
1318|挪|nuó|move; shift|noun
1319|虐待|nüèdài|To abuse|noun
1320|哦|o|Oh|noun
1321|殴打|ōudǎ|beat up; hit; drub|noun
1322|偶像|ǒuxiàng|idol|verb
1323|呕吐|ǒutù|vomit|noun
1324|趴|pā|Lie|noun
1325|排斥|páichì|exclude|noun
1326|排除|páichú|eliminate; remove; debar|noun
1327|排练|páiliàn|rehearse|noun
1328|排放|páifàng|discharge|noun
1329|徘徊|páihuái|wander|noun
1330|派别|pàibié|faction; group|noun
1331|派遣|pàiqiǎn|send; dispatch|noun
1332|攀登|pāndēng|Climb|noun
1333|盘旋|pánxuán|convolute; hover|noun
1334|畔|pàn|bank, side|noun
1335|判决|pànjué|Sentence|noun
1336|庞大|pángdà|enormous|adj
1337|抛弃|pāoqì|throw over; abandon; discard|verb
1338|泡沫|pàomò|bubble; froth|noun
1339|培育|péiyù|Cultivation|noun
1340|配备|pèibèi|Equipment|noun
1341|配偶|pèi’ǒu|consort; mate|verb
1342|配套|pèitào|form a complete set|noun
1343|盆地|péndì|basin|noun
1344|烹饪|pēngrèn|cooking|verb
1345|捧|pěng|Holding|noun
1346|劈|pī|split|noun
1347|批发|pīfā|wholesale|noun
1348|批判|pīpàn|critique|noun
1349|疲惫|píbèi|tired out; exhausted|noun
1350|疲倦|píjuàn|Tired|noun
1351|皮革|pígé|leather|noun
1352|屁股|pìgu|Butt|noun
1353|譬如|pìrú|for example|noun
1354|偏差|piānchā|error; deviation|noun
1355|偏见|piānjiàn|prejudice|noun
1356|偏僻|piānpì|out of the way; devious; outlying|noun
1357|偏偏|piānpiān|Just|noun
1358|片断|piànduàn|Fragment|noun
1359|片刻|piànkè|a while; a moment|noun
1360|飘扬|piāoyáng|Flying|noun
1361|漂浮|piāofú|Float|noun
1362|撇|piē|cast aside|noun
1363|拼搏|pīnbó|go all out in work|noun
1364|拼命|pīnmìng|Try my best|noun
1365|频繁|pínfán|frequently|adv
1366|频率|pínlǜ|frequency|noun
1367|贫乏|pínfá|poor; lacking indigent|noun
1368|贫困|pínkùn|Poor|noun
1369|品尝|pǐncháng|Taste|noun
