No|Chinese|Pinyin|English|part_of_speech
591|珍惜|zhēnxī|cherish, treasure, value|verb
592|阵|zhèn|front, battle formation|noun
593|睁|zhēng|open (eyes), stare|verb
594|争取|zhēngqǔ|strive for, fight for|verb
595|整个|zhěnggè|whole, entire|adjective
596|整齐|zhěngqí|neat, tidy, orderly|adjective
597|正|zhèng|just, exactly|adverb
598|政府|zhèngfǔ|government, administration|noun
599|证件|zhèngjiàn|certificate, credentials|noun
600|支|zhī|branch (for long thin objects)|measure word
601|支票|zhīpiào|Check|noun
602|指导|zhǐdǎo|guidance|noun
603|制定|zhìdìng|formulate, establish, draw up|verb
604|制造|zhìzào|manufacture, produce, make|verb
605|智慧|zhìhuì|wisdom|noun
606|秩序|zhìxù|order|noun
607|中介|zhōngjiè|intermediary|noun
608|中旬|zhōngxún|Mid|noun
609|周到|zhōudào|thoughtful|adjective
610|逐步|zhúbù|gradually|adverb
611|竹子|zhúzi|Bamboo|noun
612|主持|zhǔchí|Host|noun
613|主观|zhǔguān|subjective|adjective
614|主题|zhǔtí|theme|noun
615|主任|zhǔrèn|Headmaster|noun
616|抓|zhuā|grab, catch, seize|verb
617|专家|zhuānjiā|expert|noun
618|专心|zhuānxīn|Attentively|adverb
619|转告|zhuǎngào|pass on, relay, convey|verb
620|装|zhuāng|pretend, feign, act as|verb
621|装修|zhuāngxiū|renovate, decorate, remodel|verb
622|状况|zhuàngkuàng|status|noun
623|追|zhuī|chase, pursue, follow|verb
624|资格|zīgé|Qualifications|noun
625|资料|zīliào|data|noun
626|姿势|zīshì|posture|noun
627|紫|zǐ|purple|adjective
628|字幕|zìmù|Subtitle|noun
629|自动|zìdòng|automatic|adjective
630|自由|zìyóu|free|adjective
631|综合|zōnghé|comprehensive|adjective
632|总共|zǒnggòng|In total|adverb
633|总理|zǒnglǐ|prime minister|noun
634|总算|zǒngsuàn|finally|adverb
635|总之|zǒngzhī|in short, in brief|adverb
636|组成|zǔchéng|form, constitute, compose|verb
637|组织|zǔzhī|organization|noun
638|作文|zuòwén|composition|noun
639|哎|āi|Oh|interjection
640|爱护|àihù|Care|verb
641|爱惜|àixī|Cherish|verb
642|安装|ānzhuāng|install, set up, mount|verb
643|暗|àn|dark|adjective
644|把握|bǎwò|grasp, master, control|verb
645|摆|bǎi|pendulum|noun
646|办理|bànlǐ|handle, process, deal with|verb
647|傍晚|bàngwǎn|Evening|noun
648|包裹|bāoguǒ|package|noun
649|包括|bāokuò|include, comprise, contain|verb
650|薄|báo|thin|adjective
651|宝贝|bǎobèi|baby|noun
652|保持|bǎochí|maintain, keep, preserve|verb
653|保险|bǎoxiǎn|Insurance|noun
654|抱怨|bàoyuàn|Complain|verb
655|报道|bàodào|report, cover, broadcast|verb
656|报社|bàoshè|Newspaper office|noun
657|背|bèi|Back|noun
658|本质|běnzhì|essence|noun
659|彼此|bǐcǐ|each other|pronoun
660|毕竟|bìjìng|after all|adverb
661|避免|bìmiǎn|avoid, prevent, avert|verb
662|编辑|biānjí|edit, compile, arrange|verb
663|便|biàn|then, in that case|adverb
664|标点|biāodiǎn|punctuation|noun
665|表明|biǎomíng|Indicate|verb
666|病毒|bìngdú|virus|noun
667|播放|bōfàng|broadcast, play, air|verb
668|脖子|bózi|neck|noun
669|不要紧|búyàojǐn|Never mind|phrase
670|布|bù|cloth, textile|noun
671|不安|bù'ān|Uneasy, unstable|adjective
672|不得了|bùdéliǎo|Very|adverb
673|不如|bùrú|not as good as|phrase
674|步骤|bùzhòu|step|noun
675|采访|cǎifǎng|interview, gather news|verb
676|彩虹|cǎihóng|Rainbow|noun
677|参与|cānyù|participate in, take part in|verb
678|惭愧|cánkuì|Be ashamed|adjective
679|操心|cāoxīn|Worry|verb
680|册|cè|volume, book|noun
681|测验|cèyàn|test|noun
682|曾经|céngjīng|once|adverb
683|差距|chājù|disparity; distance|noun
684|产品|chǎnpǐn|product|noun
685|长途|chángtú|Long-distance|adjective
686|抄|chāo|copy|verb
687|超级|chāojí|super|adjective
688|朝|cháo|towards|preposition
689|炒|chǎo|stir-fry, speculate|verb
690|吵架|chǎojià|quarrel, argue, fight|verb
691|车厢|chēxiāng|train carriage, compartment|noun
692|沉默|chénmò|silent|adjective
693|称呼|chēnghu|address as, call, term|verb
694|承认|chéngrèn|Admit|verb
695|程度|chéngdù|degree|noun
696|成分|chéngfèn|component|noun
697|成果|chéngguǒ|Achievements|noun
698|成就|chéngjiù|achievement|noun
699|成熟|chéngshú|mature|adjective
700|成长|chéngzhǎng|Grow up|verb
701|吃亏|chīkuī|Suffer|verb
702|迟早|chízǎo|sooner or later|adverb
703|池塘|chítáng|Pond|noun
704|翅膀|chìbǎng|Wing|noun
705|充电器|chōngdiànqì|Charger|noun
706|充满|chōngmǎn|fill with, be full of|verb
707|抽屉|chōuti|drawer|noun
708|臭|chòu|smelly|adjective
709|出版|chūbǎn|publish, print|verb
710|出色|chūsè|excellent; outstanding|adjective
711|初级|chūjí|primary|adjective
712|传播|chuánbō|spread|verb
713|传说|chuánshuō|Legend|noun
714|窗帘|chuānglián|Window curtains|noun
715|创造|chuàngzào|create|verb
716|词汇|cíhuì|vocabulary|noun
717|辞职|cízhí|Resignation|noun
718|刺激|cìjī|stimulate|verb
719|从此|cóngcǐ|from then on|adverb
720|从事|cóngshì|Be engaged in|verb
721|促进|cùjìn|Promote|verb
722|催|cuī|Reminder, urge|verb
723|存在|cúnzài|existence|noun
724|答应|dāying|promise|verb
725|达到|dádào|Achieve|verb
726|打交道|dǎjiāodao|Dealing with|verb
727|打喷嚏|dǎpēntì|Sneeze|verb
728|打听|dǎting|Inquire|verb
729|大方|dàfang|generous|adjective
730|大型|dàxíng|large|adjective
731|呆|dāi|stay|verb
732|代替|dàitì|replace|verb
733|贷款|dàikuǎn|extend credit to; provide a loan|verb
734|单纯|dānchún|Simple|adjective
735|单独|dāndú|Alone|adjective
736|单元|dānyuán|unit|noun
737|胆小鬼|dǎnxiǎoguǐ|Coward|noun
738|当地|dāngdì|Local|noun
739|当心|dāngxīn|Watch out|verb
740|挡|dǎng|block|verb
741|岛屿|dǎoyǔ|Islands|noun
742|导演|dǎoyǎn|director|noun
743|导致|dǎozhì|cause|verb
744|到达|dàodá|Arrive|verb
745|道德|dàodé|Morality|noun
746|等待|děngdài|wait for|verb
747|的确|díquè|indeed; be certain to|adverb
748|地道|dìdao|tunnel|noun
749|地理|dìlǐ|Geography|noun
750|地区|dìqū|region|noun
751|地位|dìwèi|status|noun
752|点心|diǎnxin|snack|noun
753|电台|diàntái|radio station|noun
754|钓|diào|Fishing|verb
755|洞|dòng|hole|noun
756|豆腐|dòufu|Bean curd|noun
757|独立|dúlì|Independent|adjective
758|断|duàn|break|verb
759|堆|duī|heap|noun
760|对方|duìfāng|the other party|noun
761|对象|duìxiàng|object|noun
762|兑换|duìhuàn|exchange|verb
763|蹲|dūn|squat|verb
764|多余|duōyú|surplus|adjective
765|躲藏|duǒcáng|Hide oneself|verb
766|恶劣|èliè|Adverse|adjective
767|耳环|ěrhuán|Earrings|noun
768|发愁|fāchóu|To be worried|verb
769|发抖|fādǒu|Tremble|verb
770|发明|fāmíng|Invention|noun
771|翻|fān|Turn|verb
772|反复|fǎnfù|Repeatedly|adverb
773|反映|fǎnyìng|reflect|verb
774|方|fāng|square|noun
775|仿佛|fǎngfú|as if|adverb
776|非|fēi|wrong; non|adjective
777|废话|fèihuà|Crap|noun
778|分别|fēnbié|part|verb
779|分配|fēnpèi|distribution|noun
780|分析|fēnxī|Analysis|noun
781|纷纷|fēnfēn|one after another|adverb
782|奋斗|fèndòu|Struggle|verb
783|风格|fēnggé|style|noun
784|风俗|fēngsú|Customs|noun
785|疯狂|fēngkuáng|Insane|adjective
786|否定|fǒudìng|negative|adjective
787|幅|fú|classifier of picture|measure word
788|服装|fúzhuāng|costume; dress|noun
789|辅导|fǔdǎo|Coach|verb
790|妇女|fùnǚ|Woman|noun
791|改革|gǎigé|reform|verb
792|改善|gǎishàn|Improve|verb
793|盖|gài|cover|verb
794|概念|gàiniàn|concept|noun
795|干脆|gāncuì|simply|adverb
796|干燥|gānzào|Dry|adjective
797|感激|gǎnjī|Appreciate|verb
798|感受|gǎnshòu|feel|verb
799|赶紧|gǎnjǐn|Quickly|adverb
800|钢铁|gāngtiě|steel, iron and steel|noun
801|高档|gāodàng|High-grade|adj
802|搞|gǎo|do, handle, make|verb
803|格外|géwài|especially|adv
804|个别|gèbié|individual|adj
805|个性|gèxìng|personality, individuality, character|noun
806|根|gēn|root, foundation, basis|noun
807|公布|gōngbù|Publish|verb
808|公元|gōngyuán|A.D.|noun
809|公主|gōngzhǔ|princess, royal daughter|noun
810|工程师|gōngchéngshī|engineer, technical expert|noun
811|工人|gōngrén|worker, laborer|noun
812|恭喜|gōngxǐ|congratulations|noun
813|贡献|gòngxiàn|contribution, dedication|noun
814|构成|gòuchéng|constitute, form, compose|noun
815|姑姑|gūgu|paternal aunt, father's sister|noun
816|古典|gǔdiǎn|classical|adj
817|鼓舞|gǔwǔ|inspire, encourage|noun
818|股票|gǔpiào|stock, shares, securities|noun
819|固定|gùdìng|fixed|adj
820|挂号|guàhào|Register|verb
821|拐弯|guǎiwān|Turn|verb
822|官|guān|official, officer, magistrate|noun
823|关闭|guānbì|close; shut|verb
824|观点|guāndiǎn|viewpoint, perspective, opinion|noun
825|管子|guǎnzi|pipe, tube, duct|noun
826|光临|guānglín|presence|noun
827|光盘|guāngpán|CD, DVD, optical disc|noun
828|广场|guǎngchǎng|square, plaza, public space|noun
829|广泛|guǎngfàn|widely|adv
830|规矩|guīju|rules, regulations, customs|noun
831|规模|guīmó|scale, scope, size|verb
832|归纳|guīnà|summarize, induce|noun
833|柜台|guìtái|counter, desk, booth|noun
834|锅|guō|pot, pan, wok|noun
835|国王|guówáng|king, monarch|noun
836|果然|guǒrán|Sure enough|noun
837|过分|guòfèn|excessive|adj
838|过期|guòqī|expire, be overdue|noun
839|哈|hā|ha (expressing laughter)|intj
840|海关|hǎiguān|customs, customs house|noun
841|喊|hǎn|shout, call, yell|noun
842|行业|hángyè|industry, trade, profession|noun
843|好客|hàokè|Hospitable|adj
844|和平|hépíng|peace, peaceful|adj
845|何况|hékuàng|Not to mention|noun
846|合影|héyǐng|group photo, group portrait|noun
847|核心|héxīn|core, nucleus, heart|noun
848|后果|hòuguǒ|consequence, result, outcome|noun
849|忽然|hūrán|suddenly|adj
850|呼吸|hūxī|breathing, respiration|noun
851|蝴蝶|húdié|butterfly|noun
852|胡同|hútòng|alley, lane (in Beijing)|noun
853|华裔|huáyì|Chinese born|noun
854|滑|huá|slippery|adj
855|化学|huàxué|chemistry, chemical|noun
856|缓解|huǎnjiě|ease, relieve, alleviate|verb
857|幻想|huànxiǎng|fantasy, illusion, daydream|noun
858|挥|huī|wave, brandish|verb
859|灰尘|huīchén|dust, dirt|noun
860|恢复|huīfù|recovery, restoration|noun
861|汇率|huìlǜ|exchange rate, rate of exchange|noun
862|婚姻|hūnyīn|marriage, matrimony|noun
863|火柴|huǒchái|match, matchstick|noun
864|激烈|jīliè|intense, fierce, violent|adj
865|肌肉|jīròu|muscle, flesh|noun
866|极其|jíqí|extremely, exceedingly|adv
867|集体|jítǐ|collective, group|noun
868|急忙|jímáng|hastily, hurriedly|adv
869|记录|jìlù|record, note, document|verb
870|计算|jìsuàn|calculation, computation|noun
871|系领带|jìlǐngdài|wear/tie a tie|noun
872|纪律|jìlǜ|discipline, rules|noun
873|寂寞|jìmò|lonely, solitary|adj
874|家庭|jiātíng|family, household|noun
875|家乡|jiāxiāng|hometown, native place|noun
876|夹子|jiāzi|clip, clamp, tongs|noun
877|假设|jiǎshè|in case of|noun
878|嫁|jià|marry (for woman)|noun
879|价值|jiàzhí|value, worth|noun
880|肩膀|jiānbǎng|shoulder|noun
881|坚决|jiānjué|firm, determined|noun
882|艰巨|jiānjù|arduous, formidable|adj
883|兼职|jiānzhí|part-time job, concurrent post|noun
884|简历|jiǎnlì|resume, CV, curriculum vitae|noun
885|剪刀|jiǎndāo|scissors, shears|noun
886|建立|jiànlì|establish, set up, found|verb
887|讲究|jiǎngjiu|pay attention to, be particular about|noun
888|交际|jiāojì|communication, social intercourse|noun
889|胶水|jiāoshuǐ|glue, adhesive|adj
890|狡猾|jiǎohuá|cunning, sly, crafty|noun
891|教练|jiàoliàn|coach, trainer, instructor|verb
892|接触|jiēchù|contact, touch, interact|verb
893|接近|jiējìn|approach, get close to|verb
894|阶段|jiēduàn|stage, phase, period|noun
895|戒指|jièzhi|ring, finger ring|noun
896|金属|jīnshǔ|metal, metallic|noun
897|精力|jīnglì|energy, vigor, vitality|noun
898|尽力|jìnlì|try one's best, make every effort|verb
899|经商|jīngshāng|do business, trade|verb
900|经营|jīngyíng|manage, operate, run|verb
901|酒吧|jiǔbā|bar, pub|noun
902|救护车|jiùhùchē|ambulance|noun
903|俱乐部|jùlèbù|club, association|noun
904|居然|jūrán|actually, unexpectedly|adv
905|具体|jùtǐ|specific|noun
906|俱乐部|jùlèbù|club, association|noun
907|据说|jùshuō|it is said, allegedly|adv
908|捐|juān|donate, contribute|verb
909|决心|juéxīn|determination, resolution|noun
910|角色|juésè|role, character, part|noun
911|均匀|jūnyún|uniformity|noun
912|卡车|kǎchē|truck, lorry|noun
913|开发|kāifā|develop, exploit|noun
914|开幕式|kāimùshì|opening ceremony|noun
915|看望|kànwàng|visit, call on|verb
916|靠|kào|lean on, depend on|verb
917|颗|kē|measure word for small, round objects|measure
918|可靠|kěkào|reliable, dependable|adj
919|课程|kèchéng|course, curriculum, class|noun
920|克服|kèfú|overcome, conquer|verb
921|刻苦|kèkǔ|hardworking, assiduous|noun
922|空间|kōngjiān|space, room, area|noun
923|空闲|kòngxián|free, idle, vacant|noun
924|夸张|kuāzhāng|exaggerate, overstate|verb
925|会计|kuàijì|accountant, bookkeeper|noun
926|宽|kuān|wide, broad|noun
927|昆虫|kūnchóng|insect, bug|noun
928|拦|lán|block, stop, intercept|verb
929|朗读|lǎngdú|read aloud, recite|verb
930|劳驾|láojià|excuse me, please (polite)|noun
931|老百姓|lǎobǎixìng|common people, ordinary folks|noun
932|老实|lǎoshi|honest, sincere|adj
933|老婆|lǎopó|wife, spouse (colloquial)|noun
934|乐观|lèguān|optimistic, positive|adj
935|雷|léi|thunder, lightning|noun
936|类型|lèixíng|type, category, genre|noun
937|梨|lí|pear|noun
938|厘米|límǐ|centimeter|noun
939|利润|lìrùn|profit, earnings|noun
940|利益|lìyì|interest, benefit, profit|noun
941|连续|liánxù|continuous, successive|adj
942|恋爱|liàn'ài|be in love, romance|noun
943|良好|liánghǎo|good, fine, satisfactory|adj
944|粮食|liángshi|grain, food crops|noun
945|铃|líng|bell, chime|noun
946|零件|língjiàn|spare part, component|noun
947|零食|língshí|snacks, refreshments|noun
948|领导|lǐngdǎo|leader, leadership|noun
949|逻辑|luóji|logic, reasoning|noun
950|馒头|mántou|steamed bun|noun
951|毛病|máobìng|problem, fault, defect|noun
952|矛盾|máodùn|contradiction, conflict|noun
953|贸易|màoyì|trade, commerce|noun
954|媒体|méitǐ|media, medium|noun
955|煤炭|méitàn|coal|adj
956|魅力|mèilì|charm, attraction|noun
957|梦想|mèngxiǎng|dream, aspiration|noun
958|蜜蜂|mìfēng|honeybee, bee|noun
959|秘书|mìshū|secretary, assistant|noun
960|面积|miànjī|area, surface|noun
961|明星|míngxīng|star, celebrity|noun
962|名片|míngpiàn|business card, name card|noun
963|命运|mìngyùn|fate, destiny, fortune|noun
964|模特|mótè|model, mannequin|noun
965|内部|nèibù|interior, internal|adj
966|农民|nóngmín|farmer, peasant|noun
967|欧洲|Ōuzhōu|Europe|noun
968|盆|pén|basin, pot, tub|noun
969|批|pī|batch, lot|noun
970|频道|píndào|channel, frequency|noun
971|敏感|mǐngǎn|sensitive, delicate|verb
972|明星|míngxīng|star, celebrity|noun
973|名片|míngpiàn|business card, name card|noun
974|命运|mìngyùn|fate, destiny, fortune|noun
975|模特|mótè|model, mannequin|noun
976|内部|nèibù|interior, internal|adj
977|农民|nóngmín|farmer, peasant|noun
978|欧洲|Ōuzhōu|Europe|noun
979|盆|pén|basin, pot, tub|noun
980|内部|nèibù|interior, internal|adj
981|嗯|en|well, um (expressing agreement)|intj
982|念|niàn|read aloud, study|verb
983|浓|nóng|thick, strong, concentrated|noun
984|农民|nóngmín|farmer|noun
985|欧洲|Ōuzhōu|Europe|noun
986|偶然|ǒurán|accidental, occasional|adj
987|拍|pāi|pat, clap, take (photo)|noun
988|盼望|pànwàng|hope for, look forward to|noun
989|培训|péixùn|train, cultivate|verb
990|佩服|pèifu|Admire|noun
991|盆|pén|basin, pot|noun
992|碰|pèng|touch, bump into, meet|verb
993|批|pī|batch, lot|noun
994|批准|pīzhǔn|approve, authorize|verb
995|疲劳|píláo|tired, fatigued|noun
996|匹|pǐ|measure word for horses, cloth|measure
997|片|piàn|slice, piece (measure word)|measure
998|飘|piāo|float, drift|noun
999|频道|píndào|channel, frequency|noun
1000|凭|píng|by means of, according to|noun
No|Chinese|Pinyin|English|part_of_speech|synonyms
1001|平安|píng'ān|sound and safe|noun
1002|平等|píngděng|equality|noun
1003|平衡|pínghéng|balance|noun
1004|平均|píngjūn|Average|noun
1005|破产|pòchǎn|bankruptcy|noun
1006|迫切|pòqiè|urgent|noun
1007|期间|qījiān|Period|noun
1008|其余|qíyú|Rest|noun
1009|企业|qǐyè|enterprise|verb
1010|前途|qiántú|future|noun
1011|欠|qiàn|owe|noun
1012|墙|qiáng|wall|noun
1013|强烈|qiángliè|strong|adj
1014|切|qiē|cut|verb
1015|亲自|qīnzì|personally|noun
1016|青|qīng|young|noun
1017|青少年|qīngshàonián|Teenagers|noun
1018|轻易|qīngyì|easily|adv
1019|清淡|qīngdàn|light|noun
1020|情景|qíngjǐng|scene|noun
1021|情绪|qíngxù|emotion|noun
1022|庆祝|qìngzhù|Celebrate|verb
1023|娶|qǔ|marry|noun
1024|取消|qǔxiāo|cancel|noun
1025|圈|quān|circle|noun
1026|全面|quánmiàn|comprehensive|adj
1027|权利|quánlì|right, interest|noun
1028|确定|quèdìng|Determine|noun
1029|热烈|rèliè|warm|noun
1030|人口|rénkǒu|population|noun
1031|人民币|rénmínbì|RMB|noun
1032|人事|rénshì|Personnel matters|noun
1033|人员|rényuán|personnel|noun
1034|日常|rìcháng|daily|adv
1035|日期|rìqī|Date|verb
1036|日子|rìzi|life, days|noun
1037|如今|rújīn|nowadays|noun
1038|软|ruǎn|soft|adj
1039|弱|ruò|weak|adj
1040|色彩|sècǎi|color|noun
1041|杀|shā|kill|verb
1042|沙漠|shāmò|Desert|noun
1043|傻|shǎ|silly|adv
1044|删除|shānchú|delete|verb
1045|善良|shànliáng|kind; virtuous|adj
1046|扇子|shànzi|Fan|noun
1047|商业|shāngyè|business|noun
1048|上当|shàngdàng|When|noun
1049|蛇|shé|snake|noun
1050|设备|shèbèi|equipment|noun
1051|设施|shèshī|facilities|noun
1052|射击|shèjī|Shooting|noun
1053|身材|shēncái|figure|noun
1054|神话|shénhuà|Myth|noun
1055|升|shēng|rise|verb
1056|生产|shēngchǎn|production|noun
1057|声调|shēngdiào|Tone|noun
1058|绳子|shéngzi|Rope|noun
1059|省略|shěnglüè|ellipsis|noun
1060|胜利|shènglì|victory|noun
1061|失去|shīqù|Lose|verb
1062|失业|shīyè|Unemployment|noun
1063|湿润|shīrùn|Moist|noun
1064|时差|shíchā|time difference|noun
1065|时刻|shíkè|time|noun
1066|时期|shíqī|period|noun
1067|实话|shíhuà|The truth|noun
1068|实践|shíjiàn|practice|noun
1069|实现|shíxiàn|Realization|noun
1070|实用|shíyòng|Practical|adj
1071|食物|shíwù|food|noun
1072|士兵|shìbīng|soldiers|noun
1073|似的|shìde|Likely|adv
1074|事实|shìshí|Fact|noun
1075|事先|shìxiān|Prior|noun
1076|收获|shōuhuò|Harvest|noun
1077|手套|shǒutào|glove|noun
1078|手指|shǒuzhǐ|finger|noun
1079|蔬菜|shūcài|Vegetables|noun
1080|舒适|shūshì|Comfortable|adj
1081|梳子|shūzi|comb|noun
1082|属于|shǔyú|belong to|noun
1083|数|shǔ|to count|noun
1084|甩|shuǎi|Rejection|noun
1085|说不定|shuōbudìng|maybe|noun
1086|撕|sī|tear|noun
1087|丝毫|sīháo|A bit|noun
1088|思考|sīkǎo|Reflection|noun
1089|私人|sīrén|private|verb
1090|搜索|sōusuǒ|search|noun
1091|宿舍|sùshè|dormitory|verb
1092|随时|suíshí|at any time|noun
1093|随手|suíshǒu|Readily|verb
1094|缩短|suōduǎn|Shorten|noun
1095|所|suǒ|place|noun
1096|太太|tàitai|Ma'am|noun
1097|谈判|tánpàn|negotiation|noun
1098|坦率|tǎnshuài|frank|noun
1099|烫|tàng|Hot|noun
1100|桃|táo|peach|noun
1101|逃避|táobì|escape|noun
1102|特殊|tèshū|special|adj
1103|特征|tèzhēng|Features|noun
1104|疼爱|téng'ài|Love dearly|adv
1105|提纲|tígāng|outline|noun
1106|提问|tíwèn|Put questions to|noun
1107|体会|tǐhuì|Experience|noun
1108|体现|tǐxiàn|Reflect|noun
1109|调皮|tiáopí|naughty|noun
1110|挑战|tiǎozhàn|challenge|noun
1111|痛苦|tòngkǔ|Pain|noun
1112|投入|tóurù|put into|noun
1113|透明|tòumíng|transparent|noun
1114|土地|tǔdì|land|noun
1115|吐|tù|spit|noun
1116|团|tuán|group|noun
1117|推广|tuīguǎng|Extension|noun
1118|退步|tuìbù|Backward|noun
1119|歪|wāi|Crooked|noun
1120|外交|wàijiāo|International Relations|noun
1121|完美|wánměi|perfect|adj
1122|完善|wánshàn|perfect|adj
1123|王子|wángzǐ|prince|noun
1124|往返|wǎngfǎn|Return|verb
1125|网络|wǎngluò|network|noun
1126|危害|wēihài|Harm|noun
1127|微笑|wēixiào|Smile|noun
1128|违反|wéifǎn|Violation|noun
1129|围巾|wéijīn|scarf|noun
1130|唯一|wéiyī|Only|adv
1131|伟大|wěidà|great|noun
1132|胃口|wèikǒu|Appetite|noun
1133|位置|wèizhì|position|noun
1134|未来|wèilái|Future|noun
1135|温暖|wēnnuǎn|warm|noun
1136|闻|wén|smell|noun
1137|文件|wénjiàn|file|noun
1138|文明|wénmíng|civilization|noun
1139|文字|wénzì|writing, character|noun
1140|吻|wěn|kiss|noun
1141|握手|wòshǒu|Handshake|noun
1142|屋子|wūzi|House|noun
1143|无奈|wúnài|have no choice|noun
1144|无所谓|wúsuǒwèi|cannot be designated as|noun
1145|武术|wǔshù|A martial art|noun
1146|雾|wù|Fog|noun
1147|物理|wùlǐ|Physics|noun
1148|吸收|xīshōu|absorb|verb
1149|系|xì|department|noun
1150|细节|xìjié|details|noun
1151|瞎|xiā|blind|noun
1152|鲜艳|xiānyàn|Colorful|adj
1153|显得|xiǎnde|Appear, seem|noun
1154|显示|xiǎnshì|display|noun
1155|现代|xiàndài|modern|adj
1156|现实|xiànshí|reality|noun
1157|限制|xiànzhì|limit|noun
1158|相处|xiāngchǔ|Get along with|noun
1159|相对|xiāngduì|Relative|adj
1160|相关|xiāngguān|correlate|verb
1161|想象|xiǎngxiàng|imagine|verb
1162|项|xiàng|term|noun
1163|项目|xiàngmù|project|noun
1164|象棋|xiàngqí|Xiangqi|noun
1165|消费|xiāofèi|consumption|noun
1166|消化|xiāohuà|Digestion|noun
1167|销售|xiāoshòu|Sale|noun
1168|小麦|xiǎomài|Wheat|noun
1169|效率|xiàolǜ|efficiency|noun
1170|歇|xiē|Rest|noun
1171|欣赏|xīnshǎng|Appreciate|verb
1172|信号|xìnhào|signal|adj
1173|行动|xíngdòng|Get some action|noun
1174|行人|xíngrén|pedestrian|noun
1175|形成|xíngchéng|formation|noun
1176|形式|xíngshì|form|noun
1177|形象|xíngxiàng|image|noun
1178|性质|xìngzhì|Nature|noun
1179|幸亏|xìngkuī|Thanks|noun
1180|胸|xiōng|chest|noun
1181|修改|xiūgǎi|modify|verb
1182|休闲|xiūxián|Leisure time|noun
1183|叙述|xùshù|Narration|noun
1184|宣传|xuānchuán|Propaganda|noun
1185|学历|xuélì|education degree|noun
1186|学问|xuéwen|knowledge|noun
1187|血|xuè|blood|noun
1188|寻找|xúnzhǎo|Seek, look for|noun
1189|迅速|xùnsù|rapid|noun
1190|延长|yáncháng|extend|verb
1191|严肃|yánsù|serious|adj
1192|演讲|yǎnjiǎng|speech|noun
1193|阳台|yángtái|balcony|noun
1194|摇|yáo|shake|noun
1195|要不|yàobù|Or|noun
1196|业务|yèwù|business|noun
1197|一辈子|yíbèizi|A lifetime|noun
1198|一律|yílǜ|all and singular|noun
1199|移动|yídòng|move|noun
1200|遗憾|yíhàn|pity|noun
1201|乙|yǐ||noun
1202|以及|yǐjí|as well as|noun
1203|亿|yì|Billion|noun
1204|意义|yìyì|Significance|noun
1205|因而|yīn'ér|thus|noun
1206|银|yín|silver|noun
1207|印刷|yìnshuā|printing|noun
1208|英雄|yīngxióng|Hero|noun
1209|迎接|yíngjiē|meet, welcome|noun
1210|营业|yíngyè|Do business|verb
1211|影子|yǐngzi|shadow|verb
1212|硬件|yìngjiàn|Hardware|noun
1213|拥抱|yōngbào|embrace|noun
1214|用途|yòngtú|purpose|noun
1215|优美|yōuměi|Graceful|adj
1216|游览|yóulǎn|visit|verb
1217|犹豫|yóuyù|hesitate|verb
1218|幼儿园|yòu'éryuán|Kindergarten|noun
1219|与其|yǔqí|Rather than|noun
1220|语气|yǔqì|tone|noun
1221|预订|yùdìng|book; subscribe for|noun
1222|玉米|yùmǐ|Corn|noun
1223|原料|yuánliào|raw material|adj
1224|原则|yuánzé|Principle|noun
1225|乐器|yuèqì|instrument|noun
1226|运输|yùnshū|transport|noun
1227|在于|zàiyú|rest with|noun
1228|赞美|zànměi|Praise|noun
1229|则|zé|be|noun
1230|摘|zhāi|pick|noun
1231|粘贴|zhāntiē|paste|noun
1232|展览|zhǎnlǎn|exhibition|noun
1233|占|zhàn|occupy|noun
1234|战争|zhànzhēng|War|noun
1235|长辈|zhǎngbèi|Elder|noun
1236|涨|zhǎng|rise|verb
1237|招待|zhāodài|Entertain|noun
1238|着火|zháohuǒ|on fire|noun
1239|着凉|zháoliáng|get cold|noun
1240|召开|zhàokāi|convene|noun
1241|照常|zhàocháng|as usual|adj
1242|哲学|zhéxué|Philosophy|noun
1243|真实|zhēnshí|real|adj
1244|针对|zhēnduì|aim at|noun
1245|诊断|zhěnduàn|Diagnosis|noun
1246|振动|zhèndòng|Vibration|noun
1247|争论|zhēnglùn|debate|verb
1248|征求|zhēngqiú|ask for|noun
1249|整体|zhěngtǐ|Whole|noun
1250|政治|zhèngzhì|Politics|noun
1251|证据|zhèngjù|evidence|noun
1252|挣|zhèng|earn, make|verb
1253|直|zhí|straight|adj
1254|执照|zhízhào|License|noun
1255|指挥|zhǐhuī|command|noun
1256|制度|zhìdù|system|noun
1257|制作|zhìzuò|Make|verb
1258|至今|zhìjīn|so far|noun
1259|至于|zhìyú|As for|prep
1260|治疗|zhìliáo|Treatment|noun
1261|志愿者|zhìyuànzhě|Volunteer|noun
1262|中心|zhōngxīn|core|noun
1263|种类|zhǒnglèi|type|noun
1264|重大|zhòngdà|significant|noun
1265|重量|zhòngliàng|weight|noun
1266|猪|zhū|pig|noun
1267|逐渐|zhújiàn|gradually|adv
1268|煮|zhǔ|cook|verb
1269|主动|zhǔdòng|active|adj
1270|主人|zhǔrén|master|noun
1271|主席|zhǔxí|Chairman|noun
1272|主张|zhǔzhāng|opinion|noun
1273|祝福|zhùfú|blessing|noun
1274|注册|zhùcè|register|verb
1275|抓紧|zhuājǐn|Pay close attention to, grasp|verb
1276|转变|zhuǎnbiàn|change|noun
1277|装饰|zhuāngshì|decorate|verb
1278|撞|zhuàng|Hit|noun
